Title,Running Time,Genre,Director,Barcode,Format,Condition
Mr Morgan's Last Love,110 mins,,,5027035011622,DVD,
Mr. Holmes,103 mins,Crime; Drama; Mystery,Bill Condon,5030305519162,Blu-ray,Unopened
Mud,130 mins,,,5030305516956,Blu-ray,
Mulan,114 mins,Action; Adventure; Drama; Romance,Jingle Ma; Wei Dong,5060085366205,Blu-ray,Unopened
Mummy Tomb Of The Dragon Emperor,107 mins,Adventure,,5050582591415,DVD,Unopened
My Best Friend,91 mins,,,5055201801081,DVD,
My House In Umbria,98 mins,,,5060049145181,DVD,
My Old Lady,107 mins,Comedy; Drama,Israel Horovitz,9321337157221,DVD,
Mysteries Of Lisbon,266 mins,Foreign,Raoul Ruiz,5055159200301,DVD,Unopened
Nausicaa Of The Valley Of The Wind,116 mins,Animation; Anime; Drama; Fantasy; Science Fiction,Hayao Miyazaki,5055201810724,Blu-ray,
Night And Fog,122 mins,Drama,Ann Hui,5055201816450,DVD,
Night And Fog,31 mins,,,37429180822,DVD,Unopened
Night Train To Lisbon,106 mins,,,5060105722394,DVD,
Night Train To Munich,90 mins,Thriller; War,Carol Reed,715515059015,DVD,
Nikita,,,Luc Besson,5055201808349,DVD,
