Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
Goyokin,124 mins,Action; Adventure,Hideo Gosha,631595060881,DVD,,42.47,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Grandmaster Yip Man,106 mins,Action; Biography; History,Wilson Yip,5060085366090,Blu-ray,,40.4,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Grave Of The Fireflies,90 mins,,,5055201822314,,Unopened,263.0,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
Gravity 3D,91 mins,Science Fiction,Alfonso Cuarón,5051892165549,Blu-ray,,63.87,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Great Continental Railway Journeys,60 mins,Documentary,Cassie Farrell; Dave Minchin,5030697023506,DVD,Unopened,21.3,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
Great Continental Railway Journeys Series 2,,,,5030697026682,DVD,Unopened,42.17,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
Great Continental Railway Journeys Series 3,,,,5030697029539,DVD,Unopened,37.92,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
Great Singers Of Russia Vol. 1,75 mins,Music; Opera,,89948425793,DVD,,70.46,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Guardians Of The Galaxy,121 mins,Action; Adventure; Fantasy; Science Fiction,James Gunn,8717418440329,Blu-ray 3D,,46.08,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Hard Boiled,126 mins,Action; Foreign; Thriller,John Woo,5023965347329,DVD,,40.85,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Harry Brown,103 mins,Drama; Thriller,Daniel Barber,5060052418777,Blu-ray,,20.9,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Harry Potter And The Chamber Of Secrets,161 mins,Adventure; Family; Fantasy,Chris Columbus,7321902208152,DVD,,32.01,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Harry Potter And The Deathly Hallows: Part I,146 mins,Adventure; Fantasy; Mystery,David Yates,5051892028417,Blu-ray,,15.5,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Harry Potter And The Deathly Hallows: Part II,130 mins,Adventure; Fantasy,David Yates,5051892028301,Blu-ray & DVD,Unopened,33.31,High,eBay,5 listings,
Harry Potter And The Half-Blood Prince,154 mins,Adventure; Fantasy; Mystery,David Yates,9325336063965,DVD,,17.83,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Harry Potter And The Prisoner Of Azkaban,141 mins,Adventure; Family; Fantasy,Alfonso Cuarón,9325336020616,DVD,,6.25,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Harry Potter: Years 1-5,750 mins,Fantasy,Chris Columbus,7321902208152,DVD,,32.01,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Hauru No Ugoku Shiro-Howl's moving castle,119 mins,Adventure; Animation; Anime; Fantasy; Romance,Hayao Miyazaki,5055201820136,Blu-ray & DVD,,56.9,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
"Herbert Von Karajan: Beethoven - Missa Solemnis In D Major, Op. 123",,Music,,44007343913,DVD,,26.58,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Hero,95 mins,Action,Zhang Yimou,5017188814140,DVD,Unopened,16.45,Medium,eBay,No Brand New listings found. Estimated using used listings. (3 listings),
Heroes Two,91 mins,Action; Crime; Thriller,Cheh Chang,5060049145587,DVD,,28.26,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Hidden - Cache,117 mins,Drama; Mystery; Thriller,Michael Haneke,5021866312309,DVD,Unopened,20.39,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
Homefront,100 mins,Action; Thriller,Gary Fleder,5055761901238,DVD,,22.31,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Homefront,100 mins,Action; Thriller,Gary Fleder,5055761901238,Blu-ray,,22.31,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Hong Xiguan Zhi Shaolin Wu Zu-The new legend of Shaolin,95 mins,Action; Adventure; Comedy,,5035822274334,Blu-ray,,39.59,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Hopscotch,106 mins,Comedy; Drama,Ronald Neame,5028836031376,DVD,,45.91,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Hornblower: The Complete Collection,786 mins,Action; Adventure,,9397710721693,DVD,,27.58,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Hotel Rwanda,122 mins,Drama; History; War,Terry George,9398710471496,DVD,,7.17,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
House Of Cards Trilogy,642 mins,Drama,,5051561038075,DVD,,13.82,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
House Of Cards: Season 1,674 mins,Drama,Joel Schumacher; James Foley,9317731100116,DVD,,9.63,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
House of Flying Daggers; Fearless; Duelist,,Action,,5050582489804,DVD,,15.21,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
